python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-10, 27.32
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-300, 139.45
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-400, 46.89
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-100, 31.64
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-550, 219.86
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-60, 56.75
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-30, 30.90
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-130, 35.28
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-40, 31.03
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-80, 30.88
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-20, 27.13
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-50, 31.01
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-600, 223.77
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-1000, 44.18
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-170, 36.13
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-900, 338.94
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-180, 102.74
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-70, 73.74
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-450, 204.62
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-750, 168.01
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-110, 88.33
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-800, 1193.06
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-250, 41.26
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-160, 99.47
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-950, 96.93
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-150, 82.85
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-90, 30.27
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-200, 40.67
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-850, 149.40
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-190, 87.43
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-140, 61.44
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-120, 93.33
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-700, 194.23
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-650, 787.08
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-500, 49.00
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-350, 203.79
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-10, 30.72
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-300, 158.29
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-400, 49.56
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-100, 35.52
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-550, 245.11
